model_id,group,correct,total,accuracy
deepseek-v4-pro,analytical_chemistry,7,8,0.875
deepseek-v4-pro,expert_science_reasoning,8,12,0.6667
deepseek-v4-pro,general_chemistry,23,38,0.6053
deepseek-v4-pro,inorganic_chemistry,9,10,0.9
deepseek-v4-pro,materials_science,12,12,1.0
deepseek-v4-pro,organic_chemistry,16,17,0.9412
deepseek-v4-pro,physical_chemistry,8,10,0.8
deepseek-v4-pro,technical_chemistry,9,9,1.0
deepseek-v4-pro,toxicity_and_safety,6,6,1.0
gpt-5.5,analytical_chemistry,8,8,1.0
gpt-5.5,expert_science_reasoning,7,12,0.5833
gpt-5.5,general_chemistry,18,38,0.4737
gpt-5.5,inorganic_chemistry,10,10,1.0
gpt-5.5,materials_science,12,12,1.0
gpt-5.5,organic_chemistry,16,17,0.9412
gpt-5.5,physical_chemistry,9,10,0.9
gpt-5.5,technical_chemistry,9,9,1.0
gpt-5.5,toxicity_and_safety,6,6,1.0
mimo-v2.5-pro,analytical_chemistry,8,8,1.0
mimo-v2.5-pro,expert_science_reasoning,7,12,0.5833
mimo-v2.5-pro,general_chemistry,18,38,0.4737
mimo-v2.5-pro,inorganic_chemistry,10,10,1.0
mimo-v2.5-pro,materials_science,10,12,0.8333
mimo-v2.5-pro,organic_chemistry,15,17,0.8824
mimo-v2.5-pro,physical_chemistry,10,10,1.0
mimo-v2.5-pro,technical_chemistry,9,9,1.0
mimo-v2.5-pro,toxicity_and_safety,6,6,1.0
