model_id,review_pattern,count
deepseek-v4-pro,domain_rule_boundary,7
deepseek-v4-pro,specific_safety_hazard,5
deepseek-v4-pro,expert_multistep_reasoning,4
deepseek-v4-pro,structure_property_preference,3
deepseek-v4-pro,substituent_overlook,1
deepseek-v4-pro,hysteresis_hidden,1
deepseek-v4-pro,metric_direction_error,1
deepseek-v4-pro,p_type_mechanism_transfer,1
deepseek-v4-pro,selectivity_claim_missing_matrix,1
gpt-5.5,domain_rule_boundary,10
gpt-5.5,structure_property_preference,5
gpt-5.5,expert_multistep_reasoning,5
gpt-5.5,specific_safety_hazard,4
gpt-5.5,solubility_context_miss,1
gpt-5.5,metric_direction_error,1
gpt-5.5,high_information_pattern_rule,1
mimo-v2.5-pro,specific_safety_hazard,6
mimo-v2.5-pro,domain_rule_boundary,6
mimo-v2.5-pro,structure_property_preference,6
mimo-v2.5-pro,expert_multistep_reasoning,5
mimo-v2.5-pro,oxidant_selectivity_gap,1
mimo-v2.5-pro,mediator_blank_drift_miss,1
mimo-v2.5-pro,product_constraint_ignored,1
mimo-v2.5-pro,packaging_transport_miss,1
mimo-v2.5-pro,single_property_selection,1
mimo-v2.5-pro,high_information_pattern_rule,1
