model_id,group,correct,total,accuracy
deepseek-v4-pro,失败机制复测,21,40,0.525
deepseek-v4-pro,安全边界,12,12,1.0
deepseek-v4-pro,实验设计,8,9,0.8889
deepseek-v4-pro,实验进行,7,7,1.0
deepseek-v4-pro,文献分析,10,12,0.8333
deepseek-v4-pro,结果分析,40,42,0.9524
gpt-5.5,失败机制复测,15,40,0.375
gpt-5.5,安全边界,12,12,1.0
gpt-5.5,实验设计,9,9,1.0
gpt-5.5,实验进行,7,7,1.0
gpt-5.5,文献分析,11,12,0.9167
gpt-5.5,结果分析,41,42,0.9762
mimo-v2.5-pro,失败机制复测,16,40,0.4
mimo-v2.5-pro,安全边界,11,12,0.9167
mimo-v2.5-pro,实验设计,8,9,0.8889
mimo-v2.5-pro,实验进行,7,7,1.0
mimo-v2.5-pro,文献分析,12,12,1.0
mimo-v2.5-pro,结果分析,39,42,0.9286
