target,selected_package,source_file,primary_key,decision,score_impact
01_item_validity/all_242_item_validity_review.csv,item_validity,all_242_item_validity_review.csv,item_id,selected by owner priority and artifact purpose,no
01_item_validity/main_152_item_validity_review.csv,item_validity,main_152_item_validity_review.csv,item_id,selected by owner priority and artifact purpose,no
01_item_validity/robustness_40_item_validity_review.csv,item_validity,robustness_40_item_validity_review.csv,item_id,selected by owner priority and artifact purpose,no
01_item_validity/hard50_50_item_validity_review.csv,item_validity,hard50_50_item_validity_review.csv,item_id,selected by owner priority and artifact purpose,no
01_item_validity/item_validity_issue_queue.csv,item_validity,item_validity_issue_queue.csv,item_id,selected by owner priority and artifact purpose,no
02_mcq_options/mcq_122_item_option_set_summary.csv,option_evidence,mcq_122_item_option_set_summary.csv,item_id,selected by owner priority and artifact purpose,no
02_mcq_options/mcq_488_option_audit.csv,option_evidence,mcq_488_option_audit.csv,item_id+option_letter,selected by owner priority and artifact purpose,no
02_mcq_options/mcq_defensible_distractor_and_gold_issue_queue.csv,option_evidence,mcq_defensible_distractor_and_gold_issue_queue.csv,item_id+option_letter,selected by owner priority and artifact purpose,no
03_reference_evidence/fr_30_reference_answer_external_evidence_audit.csv,option_evidence,fr_30_reference_answer_external_evidence_audit.csv,item_id,selected by owner priority and artifact purpose,no
03_reference_evidence/fr_112_reference_claim_evidence_audit.csv,option_evidence,fr_112_reference_claim_evidence_audit.csv,item_id+claim_id,selected by owner priority and artifact purpose,no
03_reference_evidence/external_evidence_source_ledger.csv,option_evidence,external_evidence_source_ledger.csv,source_id,selected by owner priority and artifact purpose,no
03_reference_evidence/fr_reference_evidence_gap_queue.csv,option_evidence,fr_reference_evidence_gap_queue.csv,item_id+claim_id,selected by owner priority and artifact purpose,no
04_free_response_adjudication/full_review_by_item.csv,free_response,02_full_response_adjudication/full_review_by_item.csv,task_id+model_id,selected by owner priority and artifact purpose,yes
04_free_response_adjudication/full_review_by_dimension.csv,free_response,02_full_response_adjudication/full_review_by_dimension.csv,task_id+model_id+dimension,selected by owner priority and artifact purpose,yes
04_free_response_adjudication/confirmed_hard_fails.csv,free_response,02_full_response_adjudication/confirmed_hard_fails.csv,task_id+model_id,selected by owner priority and artifact purpose,yes
04_free_response_adjudication/score_overrides.csv,free_response,02_full_response_adjudication/score_overrides.csv,task_id+model_id+dimension,selected by owner priority and artifact purpose,yes
04_free_response_adjudication/hard_fail_reclassification.csv,free_response,01_free_response_design_review/hard_fail_reclassification.csv,task_id+model_id,selected by owner priority and artifact purpose,yes
05_judge_reliability/judge_reliability_metrics.csv,free_response,03_judge_reliability/judge_reliability_metrics.csv,group,selected by owner priority and artifact purpose,no
05_judge_reliability/judge_disagreement_cases.csv,free_response,03_judge_reliability/judge_disagreement_cases.csv,task_id+model_id,selected by owner priority and artifact purpose,no
05_judge_reliability/judge_reliability_report.md,free_response,03_judge_reliability/judge_reliability_report.md,document,selected by owner priority and artifact purpose,no
06_robustness/robustness_40_item_pair_review.csv,remaining_work,robustness_40_item_pair_review.csv,item_id,selected by owner priority and artifact purpose,no
06_robustness/robustness_group_review.csv,remaining_work,robustness_group_review.csv,consistency_group_id,selected by owner priority and artifact purpose,no
07_hard50/hard50_item_calibration.csv,remaining_work,hard50_item_calibration.csv,item_id,selected by owner priority and artifact purpose,no
07_hard50/hard50_retire_rewrite_keep.csv,remaining_work,hard50_retire_rewrite_keep.csv,item_id,selected by owner priority and artifact purpose,no
08_statistics/content_quality_statistics.json,remaining_work,content_quality_statistics.json,section,selected by owner priority and artifact purpose,no
08_statistics/statistical_diagnostic_inventory.csv,remaining_work,statistical_diagnostic_inventory.csv,analysis,selected by owner priority and artifact purpose,no
09_blind_review/blind_review_execution_packet/blind_review_rules.md,remaining_work,blind_review_execution_packet/blind_review_rules.md,document,selected by owner priority and artifact purpose,no
09_blind_review/blind_review_execution_packet/blind_review_scoring_template.csv,remaining_work,blind_review_execution_packet/blind_review_scoring_template.csv,blind_response_id,selected by owner priority and artifact purpose,no
09_blind_review/blind_review_execution_packet/build_blind_packet.py,remaining_work,blind_review_execution_packet/build_blind_packet.py,script,selected by owner priority and artifact purpose,no
10_provenance/raw_evidence_inventory.csv,free_response,00_review_foundation/raw_evidence_inventory.csv,artifact_path,selected by owner priority and artifact purpose,no
